name,essround,edition,idno,cntry,dweight,pspwght,pweight,anweight,gndr,agea,maritalb,domicil,hhmmb,brncntr,ctzcntr,eisced,mnactic,pdwrk,emplrel,wrkctra,wkhtot,isco08,hinctnta,hincsrca,hincfel,health,hlthhmp,happy,stflife,cgtsmok,alcfreq,alcwkdy,alcwknd,alcbnge,height,weighta,region
ESS11e04_1,11,4.1,52270,GR,0.5194756,0.5475547,0.32726234,0.17919403,1,38,6,3,2,1,1,4,1,1,2,6,48,5221,6,2,2,1,3,9,9,6,3,0,24.77,2,179,68,EL52
ESS11e04_1,11,4.1,52280,GR,0.55247283,0.56473356,0.32726234,0.18481603,1,44,1,1,4,1,1,6,1,1,2,6,48,5221,6,2,4,1,3,7,7,4,3,13.04,22.76,2,176,95,EL52
ESS11e04_1,11,4.1,52284,GR,0.53198373,0.38881007,0.32726234,0.1272429,2,30,6,2,1,1,1,4,1,1,1,1,40,4110,88,1,3,1,3,5,7,4,3,13.04,13.04,2,168,85,EL30
ESS11e04_1,11,4.1,52286,GR,1.2021269,1.1914364,0.32726234,0.38991228,1,79,1,4,2,1,1,1,6,0,2,6,50,6111,4,4,3,3,3,6,6,1,3,238.32,180.76,4,178,102,EL43
ESS11e04_1,11,4.1,52289,GR,0.50293416,0.2666041,0.32726234,0.08724948,2,50,1,1,3,1,1,4,4,0,1,1,24,4211,88,1,2,2,3,8,6,6,7,6666,6666,6,175,777,EL63
ESS11e04_1,11,4.1,52291,GR,0.19954558,0.16585977,0.32726234,0.05427966,2,56,5,4,1,1,1,4,6,0,6,6,666,66666,5,4,2,1,3,8,9,6,7,6666,6666,6,168,71,EL51
ESS11e04_1,11,4.1,52293,GR,1.1697472,2.2712386,0.32726234,0.74329084,1,28,6,1,2,1,1,4,1,1,1,1,40,7115,77,1,2,2,3,8,6,6,4,82.96,45.04,2,180,79,EL42
ESS11e04_1,11,4.1,52315,GR,1.0085326,1.1090214,0.32726234,0.36294097,1,54,1,4,2,1,1,4,1,1,2,6,60,6111,77,3,3,1,3,8,7,1,2,31.6,96.48,2,189,95,EL51
ESS11e04_1,11,4.1,52339,GR,1.7127168,1.0101235,0.32726234,0.33057538,2,54,1,1,2,1,1,4,1,1,2,6,45,5221,8,2,2,1,3,7,7,4,4,26.08,31.6,4,174,67,EL30
ESS11e04_1,11,4.1,52393,GR,0.6386063,0.5063022,0.32726234,0.16569364,2,39,1,2,4,1,1,6,1,1,2,6,40,5142,88,2,2,1,3,9,9,4,6,22.76,22.76,4,168,60,EL30
ESS11e04_1,11,4.1,52449,GR,1.1478733,0.83894426,0.32726234,0.27455488,2,24,6,1,2,1,1,4,1,1,1,1,40,5131,77,1,2,1,3,7,7,2,6,0,11.73,3,170,62,EL30
ESS11e04_1,11,4.1,52452,GR,0.29288816,0.2638802,0.32726234,0.086358055,1,39,6,2,1,1,1,4,1,1,2,6,70,5221,88,2,2,1,3,5,5,2,6,0,18.96,4,180,78,EL30
ESS11e04_1,11,4.1,52468,GR,1.7467884,2.1580539,0.32726234,0.7062498,2,90,5,1,3,1,1,1,6,0,6,6,666,66666,77,4,3,4,1,5,4,6,6,11.38,13.04,5,160,90,EL65
ESS11e04_1,11,4.1,52471,GR,0.33663562,0.2886193,0.32726234,0.09445424,1,77,5,4,1,1,1,4,6,0,1,3,40,4221,6,4,3,3,3,3,3,5,7,6666,6666,6,888,888,EL52
ESS11e04_1,11,4.1,52472,GR,2.2535744,1.6470652,0.32726234,0.5390224,2,26,6,1,4,1,1,4,1,1,1,3,40,5249,9,1,1,1,3,8,8,5,3,22.76,30.34,4,173,72,EL30
ESS11e04_1,11,4.1,52477,GR,2.2842,1.6694509,0.32726234,0.5463484,2,21,6,1,3,1,1,4,2,0,6,6,666,66666,88,2,1,1,3,8,6,2,3,0,15.8,2,163,55,EL30
ESS11e04_1,11,4.1,52484,GR,1.0065966,0.90690255,0.32726234,0.29679507,1,44,6,1,2,1,1,3,1,1,2,6,50,7411,7,2,2,1,3,5,5,1,3,63.2,82.16,2,170,62,EL30
ESS11e04_1,11,4.1,52487,GR,0.38246238,0.4259815,0.32726234,0.13940771,1,27,6,3,1,1,1,4,1,1,2,6,54,5221,6,2,2,1,3,8,8,6,1,13.04,13.04,2,177,75,EL51
ESS11e04_1,11,4.1,52501,GR,0.24504843,0.21009558,0.32726234,0.06875637,1,60,4,1,1,1,1,4,1,1,2,6,48,5221,6,2,3,1,3,8,7,1,7,6666,6666,6,179,85,EL52
ESS11e04_1,11,4.1,52509,GR,1.1184407,1.3222218,0.32726234,0.4327134,1,59,1,1,2,1,1,2,1,1,2,6,40,7522,77,2,2,2,3,5,2,4,6,13.04,22.76,4,177,85,EL30
ESS11e04_1,11,4.1,52510,GR,0.45071492,0.42736873,0.32726234,0.13986169,2,27,6,1,2,1,1,6,1,1,1,1,48,5249,77,1,3,1,3,7,5,6,3,25.68,13.04,4,178,86,EL30
ESS11e04_1,11,4.1,52530,GR,1.0083957,0.7616685,0.32726234,0.24926542,1,49,1,1,3,1,1,4,1,1,1,1,58,77777,7,1,3,2,3,6,6,1,2,56.9,165.12,3,185,90,EL43
ESS11e04_1,11,4.1,52532,GR,0.6846562,0.443418,0.32726234,0.14511402,2,52,1,4,3,1,1,4,1,1,1,1,40,5131,8,1,2,1,3,7,7,1,6,15.8,22.76,5,166,61,EL53
ESS11e04_1,11,4.1,52534,GR,0.8487468,4.0003037,0.32726234,1.3091488,2,18,6,1,3,1,1,2,9,0,6,6,666,66666,77,88,3,1,3,7,6,6,7,6666,6666,6,175,75,EL42
ESS11e04_1,11,4.1,52547,GR,1.1135267,1.4455831,0.32726234,0.47308493,1,81,1,1,2,1,1,1,6,0,2,6,50,7411,5,4,2,2,3,8,8,5,6,22.76,22.76,5,176,86,EL53
ESS11e04_1,11,4.1,52576,GR,1.1073779,0.5870186,0.32726234,0.1921091,2,37,1,1,5,1,1,4,8,0,6,6,666,66666,77,1,4,1,3,6,5,1,5,11.38,11.38,3,172,65,EL63
ESS11e04_1,11,4.1,52578,GR,1.8677315,1.6318882,0.32726234,0.53405553,1,54,1,1,2,1,1,6,1,1,1,1,40,4211,7,1,2,1,3,8,7,4,6,11.38,22.76,4,175,78,EL30
ESS11e04_1,11,4.1,52600,GR,1.2008376,0.90702504,0.32726234,0.29683515,1,41,1,1,4,1,1,4,1,1,1,1,50,9313,6,1,2,1,3,9,8,4,3,73.48,233.84,2,179,86,EL43
ESS11e04_1,11,4.1,52613,GR,0.5918845,0.5956453,0.32726234,0.19493228,2,79,5,4,1,1,1,1,8,0,6,6,666,66666,4,4,3,2,3,7,8,6,7,6666,6666,6,150,65,EL43
ESS11e04_1,11,4.1,52616,GR,3.3462539,2.652986,0.32726234,0.8682225,2,35,6,1,4,1,1,6,1,1,1,2,40,3433,77,77,2,3,2,5,4,6,6,11.38,11.38,5,155,65,EL30
ESS11e04_1,11,4.1,52619,GR,0.7110988,0.4805749,0.32726234,0.15727407,2,41,1,3,4,1,1,5,1,1,1,1,40,2342,7,2,3,1,3,7,7,1,3,0,74.9,2,166,64,EL61
ESS11e04_1,11,4.1,52633,GR,0.22792462,0.2402444,0.32726234,0.078622945,1,37,4,4,1,1,1,4,1,1,2,6,48,5221,6,2,2,1,3,8,8,1,2,40.57,40.57,2,182,89,EL52
